	t	x	n
  0.8167   0.0029 1031.0000 
  0.8100   0.0077 521.0000 
  0.7440   0.0270 1668.0000 
  0.7668   0.0249 965.0000 
  0.7399   0.1192 646.0000 
  0.7868   0.0491 591.0000 
  0.7711   0.0402 1494.0000 
  0.7238   0.3643 420.0000 
  0.7428   0.7572 622.0000 
  0.7998   0.4873 1024.0000 
  0.8403   0.1875 288.0000 
  0.6914   0.3642 593.0000 
  0.7759   0.2022 638.0000 
  0.7495   0.0250 519.0000 
  0.6407   0.0042 707.0000 
  0.7581   0.5581 215.0000 
  0.6910   0.7328 932.0000 
  0.7841   0.4015 264.0000 
  0.8230   0.5150 565.0000 
  0.7915   0.2888 921.0000 
  0.8291   0.1677 316.0000 
  0.6981   0.3639 371.0000 
  0.9061   0.3333 330.0000 
  0.8362   0.0000 177.0000 
  0.7134   0.7978 628.0000 
  0.7716   0.5546 613.0000 
  0.7507   0.5731 670.0000 
  0.7877   0.0000 179.0000 
  0.8080   0.0000 995.0000 
  0.7802   0.0017 605.0000 
  0.7989   0.0000 1124.0000 
  0.7276   0.0000 591.0000 
  0.6964   0.0000 685.0000 
  0.6415   0.0000 265.0000 
  0.6828   0.0069 145.0000 
  0.6898   0.0000 403.0000 
  0.6991   0.1489 658.0000 
  0.7437   0.4077 753.0000 
  0.7352   0.0000 491.0000 
  0.7782   0.0894 861.0000 
  0.7727   0.0798 990.0000 
  0.7234   0.4450 582.0000 
  0.7556   0.3766 855.0000 
  0.7617   0.7336 642.0000 
  0.7606   0.5164 852.0000 
  0.7676   0.2958 284.0000 
  0.8000   0.3491 845.0000 
  0.6948   0.0000 498.0000 
  0.6746   0.0128 547.0000 
  0.7617   0.0047 214.0000 
  0.6799   0.0453 353.0000 
  0.7295   0.0040 499.0000 
  0.6813   0.0000 364.0000 
  0.8469   0.1837 588.0000 
  0.7729   0.0199 251.0000 
  0.7390   0.2256 931.0000 
  0.7131   0.4931 868.0000 
  0.7779   0.0131 761.0000 
  0.6490   0.0063 473.0000 
  0.7031   0.3750 128.0000 
  0.6869   0.4381 792.0000 
  0.6552   0.2687 670.0000 
  0.6910   0.0787 178.0000 
  0.7096   0.2602 861.0000 
  0.8065   0.2645 155.0000 
  0.7430   0.0140 856.0000 
  0.6976   0.0397 982.0000 
  0.6685   0.9752 929.0000 
  0.7011   0.4218 358.0000 
  0.8059   0.2946 886.0000 
  0.8206   0.0538 223.0000 
  0.7991   0.0183 219.0000 
  0.6733   0.0000 303.0000 
  0.6883   0.2857  77.0000 
  0.6382   0.0256 586.0000 
  0.5919   0.1391 762.0000 
  0.7530   0.0000 251.0000 
  0.6993   0.0109 276.0000 
  0.7917   0.0000  96.0000 
  0.6661   0.0758 1201.0000 
  0.6885   0.0139 1082.0000 
  0.6903   0.0467 1285.0000 
  0.7250   0.0168 1131.0000 
  0.6175   0.5675 1119.0000 
  0.5742   0.9631 1031.0000 
  0.8244   0.0000 262.0000 
  0.7191   0.0045 445.0000 
  0.7154   0.0308 130.0000 
  0.6880   0.0654 673.0000 
  0.7517   0.0161 435.0000 
  0.7756   0.0256 352.0000 
  0.6893   0.0097 618.0000 
  0.7291   0.0000 251.0000 
  0.7599   0.0000 604.0000 
  0.7203   0.0066 758.0000 
  0.7181   0.0000 298.0000 
  0.6642   0.0102 685.0000 
  0.6771   0.0000 638.0000 
  0.7216   0.0000 431.0000 
  0.7208   0.0171 351.0000 
  0.7919   0.2237 1341.0000 
  0.7202   0.4405 168.0000 
  0.7643   0.7280 1434.0000 
  0.6923   0.2867 143.0000 
  0.7211   0.4943 441.0000 
  0.7717   0.7849 530.0000 
  0.7500   0.5000 260.0000 
  0.7125   0.5275 546.0000 
  0.7962   0.3694 157.0000 
  0.6688   0.0382 157.0000 
  0.7005   0.2315 661.0000 
  0.6900   0.4813 642.0000 
  0.6949   0.2599 731.0000 
  0.7070   0.5233 430.0000 
  0.7591   0.1273 220.0000 
  0.7500   0.2419 492.0000 
  0.7701   0.0803 274.0000 
  0.7958   0.0000 191.0000 
  0.7815   0.1003 389.0000 
  0.7243   0.5885 243.0000 
  0.6900   0.7000 100.0000 
  0.7833   0.5826 563.0000 
  0.7861   0.4855 173.0000 
  0.6447   0.0698 788.0000 
  0.6389   0.0692 925.0000 
  0.6935   0.0367 982.0000 
  0.6779   0.0379 975.0000 
  0.7218   0.0602 798.0000 
  0.7046   0.3956 958.0000 
  0.6996   0.0179 2290.0000 
  0.6227   0.0500 1259.0000 
  0.7033   0.0979 337.0000 
  0.6864   0.7189 338.0000 
  0.5523   0.1699 306.0000 
  0.6285   0.1908 393.0000 
  0.6720   0.8050 436.0000 
  0.7681   0.0881 772.0000 
  0.7513   0.0077 776.0000 
  0.7460   0.0061 815.0000 
  0.6206   0.0863 788.0000 
  0.7041   0.0442 1426.0000 
  0.7252   0.0612 866.0000 
  0.6899   0.0667 690.0000 
  0.5806   0.4622 1216.0000 
  0.6829   0.0288 1252.0000 
  0.6772   0.0877 1106.0000 
  0.7005   0.1024 1182.0000 
  0.6675   0.1002 1158.0000 
  0.5528   0.1680 738.0000 
  0.6628   0.0128 780.0000 
  0.7657   0.2129 653.0000 
  0.6760   0.3555 571.0000 
  0.7641   0.0103 195.0000 
  0.7276   0.3621 290.0000 
  0.6731   0.5642 927.0000 
  0.7922   0.2045 308.0000 
  0.7085   0.2187 686.0000 
  0.6826   0.2864 838.0000 
  0.7113   0.0704 852.0000 
  0.7103   0.1367 1039.0000 
  0.6733   0.0381 1916.0000 
  0.7206   0.2937 909.0000 
  0.6718   0.3770 1228.0000 
  0.7110   0.0568 1848.0000 
  0.7493   0.1390 367.0000 
  0.6992   0.0407 738.0000 
  0.7535   0.2958 142.0000 
  0.6173   0.5279 358.0000 
  0.7375   0.3500 160.0000 
  0.6167   0.0500 120.0000 
  0.7144   0.0309 1264.0000 
  0.6856   0.2468 1094.0000 
  0.6017   0.0424 118.0000 
  0.7086   0.0215 326.0000 
  0.5960   0.2373 552.0000 
  0.6885   0.1091 1146.0000 
  0.7268   0.0694 1570.0000 
  0.7099   0.0565 1434.0000 
  0.7284   0.2604 1252.0000 
  0.7512   0.2138 1085.0000 
  0.6677   0.1331 969.0000 
  0.7563   0.0385 1350.0000 
  0.6606   0.9971 1046.0000 
  0.7234   0.1238 929.0000 
  0.7270   0.9918 1099.0000 
  0.7188   0.9940 992.0000 
  0.7213   0.0769 1665.0000 
  0.6922   0.6503 1384.0000 
  0.6253   0.6124 774.0000 
  0.6155   0.2632 1022.0000 
  0.7343   0.0786 1133.0000 
  0.6898   0.0392 893.0000 
  0.7088   0.0460 934.0000 
  0.7861   0.0028 706.0000 
  0.7314   0.0024 849.0000 
  0.7458   0.0019 1078.0000 
  0.7706   0.0011 885.0000 
  0.7351   0.1236 906.0000 
  0.5616   0.0893 739.0000 
  0.7611   0.0036 1683.0000 
  0.5914   0.1631 558.0000 
  0.7277   0.0402 448.0000 
  0.6232   0.0687 422.0000 
  0.7497   0.0074 811.0000 
  0.7574   0.0000 981.0000 
  0.7861   0.2210 837.0000 
  0.6089   0.6649 767.0000 
  0.6806   0.0668 764.0000 
  0.6978   0.1054 579.0000 
  0.7568   0.0555 847.0000 
  0.6205   0.1162 1162.0000 
  0.5500   0.1700 100.0000 
  0.5100   0.9679 747.0000 
  0.7229   0.5165 1274.0000 
  0.6310   0.9904 1141.0000 
  0.5406   0.1401 357.0000 
  0.5947   0.3504 528.0000 
  0.7368   0.6227 1341.0000 
  0.6356   0.4836 763.0000 
  0.6917   0.0627 973.0000 
  0.5440   0.3127 307.0000 
  0.7003   0.9760 1001.0000 
  0.6852   0.9815 648.0000 
  0.7026   0.9882 1019.0000 
  0.6862   0.9190 975.0000 
  0.6356   0.8356 505.0000 
  0.6921   0.1577 799.0000 
  0.5037   0.9233 1213.0000 
  0.7236   0.7782 1136.0000 
  0.7143   0.5570 833.0000 
  0.6306   0.0033 601.0000 
  0.7980   0.0046 1084.0000 
  0.7556   0.0107 843.0000 
  0.7396   0.9959 983.0000 
  0.6952   0.9954 1296.0000 
  0.6748   0.2728 821.0000 
  0.7149   0.3069 1147.0000 
  0.7631   0.6646 1127.0000 
  0.6144   0.4039 765.0000 
  0.6891   0.0370 1756.0000 
  0.6875   0.0445 1731.0000 
  0.6069   0.9967 898.0000 
  0.6154   0.9945 910.0000 
  0.6980   0.3875 831.0000 
  0.6454   0.8121 846.0000 
  0.6801   0.9329 1088.0000 
  0.7144   0.9927 1362.0000 
  0.7917   0.0000 797.0000 
  0.8072   0.0000 669.0000 
  0.7069   0.7132 638.0000 
  0.6647   0.9926 677.0000 
  0.5231   0.2231 130.0000 
  0.6695   0.9915 1065.0000 
  0.6914   0.1207 1160.0000 
  0.6883   0.0977 1187.0000 
  0.6871   0.0797 1042.0000 
  0.7243   0.1649 1110.0000 
  0.7476   0.9952 1042.0000 
  0.6798   0.0213 1171.0000 
  0.7005   0.0222 1172.0000 
  0.6823   0.9964 1382.0000 
  0.6771   0.1716 1725.0000 
  0.6935   0.1723 1579.0000 
  0.6968   0.1854 1613.0000 
  0.6697   0.1800 1317.0000 
  0.6584   0.3397 524.0000 
  0.7276   0.2086 973.0000 
  0.7038   0.2131 915.0000 
  0.7887   0.2920 1041.0000 
  0.7338   0.2904 954.0000 
  0.6216   0.1985 1929.0000 
  0.6879   0.0415 1253.0000 
  0.6683   0.0867 1649.0000 
  0.6883   0.0819 1405.0000 
  0.6856   0.1102 1425.0000 
  0.7668   0.0244 1355.0000 
  0.6721   0.0304 921.0000 
  0.6617   0.0368 1005.0000 
  0.7807   0.0064 1254.0000 
  0.7088   0.0326 1164.0000 
  0.6819   0.0352 1251.0000 
  0.7651   0.0234 1196.0000 
  0.6919   0.0131 1451.0000 
  0.6974   0.0264 1477.0000 
  0.7185   0.0132 302.0000 
  0.6826   0.0315 1427.0000 
  0.6789   0.0625 1473.0000 
  0.7039   0.1250 152.0000 
  0.7111   0.2889  90.0000 
  0.6643   0.2792 283.0000 
  0.7366   0.0625 224.0000 
  0.5788   0.2808 406.0000 
  0.6617   0.0150 1064.0000 
  0.6748   0.0696 1236.0000 
  0.6491   0.0420 1214.0000 
  0.6741   0.0532 1034.0000 
  0.6542   0.0091 1206.0000 
  0.7670   0.0082 485.0000 
  0.7576   0.0346 231.0000 
  0.7033   0.0203 246.0000 
  0.5495   0.9889 899.0000 
  0.5620   0.9805 411.0000 
  0.6008   0.9924 526.0000 
  0.5031   0.9912 799.0000 
  0.5493   0.8773 375.0000 
  0.5499   0.5299 451.0000 
  0.6769   0.1346 817.0000 
  0.5587   0.1210 281.0000 
  0.6304   0.2729 414.0000 
  0.6244   0.3299 394.0000 
  0.5535   0.9697 495.0000 
  0.6763   0.0100 1004.0000 
  0.6555   0.0287 209.0000 
  0.6315   0.0419 597.0000 
  0.6250   0.4013 304.0000 
  0.6222   0.7632 1043.0000 
  0.6669   0.0660 1303.0000 
  0.5384   0.0463 691.0000 
  0.5365   0.1014 740.0000 
  0.5955   0.1300 754.0000 
  0.5597   0.1223 1022.0000 
  0.6669   0.0177 1186.0000 
  0.6565   0.0102 492.0000 
  0.5923   0.6822 1268.0000 
  0.5775   0.6960 1013.0000 
  0.6148   0.8333 732.0000 
  0.5215   0.9789 1281.0000 
  0.5659   0.8258 1154.0000 
  0.5344   0.7409 552.0000 
  0.6063   0.0861 1336.0000 
  0.5971   0.1012 1107.0000 
  0.5675   0.0348 1956.0000 
  0.6529   0.0454 1717.0000 
  0.5213   0.9715 1546.0000 
  0.6537   0.0410 1340.0000 
  0.6449   0.1139 887.0000 
  0.6444   0.1455 928.0000 
  0.5775   0.0436 1375.0000 
  0.6566   0.0058 1730.0000 
  0.6229   0.0146 1575.0000 
  0.6236   0.0092 1408.0000 
  0.6351   0.0211 1466.0000 
  0.6303   0.0098 1431.0000 
  0.5866   0.4437 595.0000 
  0.6042   0.0396 379.0000 
  0.5040   0.5121 742.0000 
  0.5874   0.0663 1447.0000 
  0.5824   0.0275 1056.0000 
  0.6453   0.0006 1545.0000 
  0.6535   0.0051 782.0000 
  0.7315   0.0104 1054.0000 
  0.6949   0.0078 1285.0000 
  0.6535   0.0099 303.0000 
  0.6797   0.0020 1536.0000 
  0.5740   0.1720 500.0000 
  0.7028   0.2157 932.0000 
  0.6606   0.0068 1756.0000 
  0.6972   0.0025 1189.0000 
  0.7073   0.0135 1411.0000 
  0.6619   0.0055 914.0000 
  0.6156   0.9919 614.0000 
  0.6328   0.0007 1517.0000 
  0.6512   0.9953 215.0000 
  0.6859   0.0444 1713.0000 
  0.6380   0.0067 1196.0000 
  0.6773   0.0057 1224.0000 
  0.6142   0.0203 197.0000 
  0.6194   0.0401 599.0000 
  0.8478   0.0217  46.0000 
  0.7053   0.0316  95.0000 
  0.6523   0.0400 325.0000 
  0.8059   0.0078 510.0000 
  0.8476   0.0102 492.0000 
  0.8515   0.0212 330.0000 
  0.7313   0.7761 335.0000 
  0.8132   0.0000 257.0000 
  0.7206   0.0605 562.0000 
  0.7878   0.0000 476.0000 
  0.7504   0.2986 653.0000 
  0.6628   0.0173 347.0000 
  0.6461   0.0108 647.0000 
  0.6186   0.0206 485.0000 
  0.6280   0.0000 164.0000 
  0.5479   0.9732 261.0000 
  0.5574   0.0544 662.0000 
  0.7053   0.0193 207.0000 
  0.6526   0.0495 950.0000 
  0.6399   0.3443 636.0000 
  0.6821   0.0172 582.0000 
  0.6150   0.1278 665.0000 
  0.7425   0.4417 369.0000 
  0.7871   0.0000 526.0000 
  0.7990   0.0034 592.0000 
  0.7813   0.0486 288.0000 
  0.8220   0.0756 410.0000 
  0.7124   0.1034 532.0000 
  0.7803   0.3182 396.0000 
  0.7140   0.6065 493.0000 
  0.7951   0.0315 571.0000 
  0.7459   0.0871 425.0000 
  0.7746   0.2254 457.0000 
  0.7089   0.1435 237.0000 
  0.7513   0.0053 189.0000 
  0.7207   0.1735 709.0000 
  0.7500   0.0260 384.0000 
  0.6392   0.0053 571.0000 
  0.5478   0.0522 230.0000 
  0.5946   0.0000 1041.0000 
  0.6500   0.0014 740.0000 
  0.6761   0.0026 389.0000 
  0.6710   0.0301 465.0000 
  0.8182   0.0000 165.0000 
  0.6656   0.0000 308.0000 
  0.6542   0.0093 107.0000 
  0.6207   0.0000  87.0000 
  0.4871   0.1282 850.0000 
  0.3898   0.1919 1162.0000 
  0.7239   0.1984 373.0000 
  0.7714   0.5381 420.0000 
  0.7703   0.4118 357.0000 
  0.8154   0.2795 390.0000 
  0.7283   0.0000 368.0000 
  0.7464   0.0163 552.0000 
  0.7311   0.2437 476.0000 
  0.6595   0.1018 511.0000 
  0.7170   0.0176 682.0000 
  0.6584   0.0000 322.0000 
  0.6357   0.0255 431.0000 
  0.6610   0.1441 118.0000 
  0.7379   0.2087 393.0000 
  0.8125   0.9978 928.0000 
  0.8585   0.0240 834.0000 
  0.7500   0.0000  64.0000 
  0.8031   0.2857 259.0000 
  0.7734   0.0000 256.0000 
  0.6855   0.3484 531.0000 
  0.7337   0.3995 413.0000 
  0.8421   0.0000  57.0000 
  0.7944   0.1107 569.0000 
  0.6780   0.5320 500.0000 
  0.7008   0.5840 488.0000 
  0.6584   0.2478 565.0000 
  0.7049   0.3311 305.0000 
  0.7805   0.2585 205.0000 
  0.6646   0.5677 495.0000 
  0.7282   0.2275 655.0000 
  0.8507   0.0000 556.0000 
  0.7828   0.3298 373.0000 
  0.7618   0.2165 508.0000 
  0.6713   0.4071 1162.0000 
  0.6438   0.9623 1008.0000 
  0.6694   0.2661 124.0000 
  0.6579   0.7057 418.0000 
  0.6438   0.0000  73.0000 
  0.4050   0.5620 121.0000 
  0.5127   0.9624 825.0000 
  0.4509   0.9382 550.0000 
  0.6843   0.1239 662.0000 
  0.6040   0.6007 596.0000 
  0.6593   0.0201 945.0000 
  0.5654   0.7686 497.0000 
  0.3407   1.0000 226.0000 
  0.7314   0.2357 1154.0000 
  0.6616   0.3945 659.0000 
  0.6730   0.4545 627.0000 
  0.6897   0.0000 493.0000 
  0.5745   0.2734 940.0000 
  0.5507   0.2152 739.0000 
  0.7733   0.0000 419.0000 
  0.5492   0.1803 122.0000 
  0.5745   0.0426  47.0000 
  0.5455   0.3030  33.0000 
  0.6793   0.4369 396.0000 
  0.7037   0.2698 189.0000 
  0.5897   0.1277 368.0000 
  0.6729   0.3834 373.0000 
  0.6814   0.0820 317.0000 
  0.6568   0.0159 440.0000 
  0.7282   0.0218 412.0000 
  0.6471   0.0000 187.0000 
  0.6888   0.3434 498.0000 
  0.7736   0.1780 455.0000 
  0.7328   0.0229 131.0000 
  0.6636   0.0477 1406.0000 
  0.6792   0.5086 639.0000 
  0.6633   0.3568 199.0000 
  0.7124   0.3925 372.0000 
  0.6630   0.2120 552.0000 
  0.6368   0.2836 201.0000 
  0.7882   0.2471  85.0000 
  0.6813   0.0000 160.0000 
  0.7151   0.2027 1169.0000 
  0.6678   0.3772 912.0000 
  0.5464   0.6392  97.0000 
  0.6842   0.6938 209.0000 
  0.6501   0.6766 903.0000 
  0.5877   0.8054 781.0000 
  0.7642   0.2642 106.0000 
  0.7056   0.2525 788.0000 
  0.6901   0.5380 171.0000 
  0.8051   0.1864 118.0000 
  0.6608   0.8241 398.0000 
  0.8042   0.4458 240.0000 
  0.6537   0.2627 335.0000 
  0.7292   0.4375  48.0000 
  0.7246   0.2569 541.0000 
  0.6436   0.5792 404.0000 
  0.7246   0.6229 236.0000 
  0.7549   0.4783 253.0000 
  0.6667   0.2692  78.0000 
  0.7482   0.5971 139.0000 
  0.7373   0.0041 491.0000 
  0.6810   0.4911 790.0000 
  0.6301   0.0000 146.0000 
  0.7189   0.2865 370.0000 
  0.6205   0.3253 332.0000 
  0.5528   0.2317 246.0000 
  0.6606   0.8408 710.0000 
  0.6258   0.8790 620.0000 
  0.6517   0.9813 534.0000 
  0.4722   0.7731 216.0000 
  0.5396   0.9455 606.0000 
  0.6844   0.0681 602.0000 
  0.6844   0.0251 716.0000 
  0.6929   0.9895 762.0000 
  0.5390   0.3439 410.0000 
  0.6062   0.9402 485.0000 
  0.5833   0.9389 360.0000 
  0.7698   0.9798 643.0000 
  0.7246   0.9887 621.0000 
  0.7037   0.9832 594.0000 
  0.7233   0.9867 900.0000 
  0.6688   0.9180 634.0000 
  0.6264   0.7303 356.0000 
  0.5550   0.7852 391.0000 
  0.6067   0.8839 534.0000 
  0.5833   0.6698 324.0000 
  0.6586   0.8039 413.0000 
  0.5563   0.5518 444.0000 
  0.6761   0.5777 457.0000 
  0.6783   0.2535 718.0000 
  0.6687   0.2217 812.0000 
  0.6667   0.3007 429.0000 
  0.6181   0.8187 728.0000 
  0.6805   0.4759 601.0000 
  0.7109   0.6534 678.0000 
  0.6793   0.9058 711.0000 
  0.6405   0.3002 523.0000 
  0.6610   0.3068 528.0000 
  0.6431   0.9964 835.0000 
  0.7449   0.0243 741.0000 
  0.7466   0.0000 580.0000 
  0.7617   0.0034 596.0000 
  0.7431   0.0194 619.0000 
  0.6490   0.3821 547.0000 
  0.6286   0.3946 517.0000 
  0.5866   0.3370 641.0000 
  0.6242   0.3773 652.0000 
  0.6225   0.3452 898.0000 
  0.6197   0.6890 447.0000 
  0.6110   0.6234 401.0000 
  0.7784   0.0035 564.0000 
  0.7155   0.1115 798.0000 
  0.6875   0.0929 1120.0000 
  0.7591   0.0015 656.0000 
  0.7161   0.0099 708.0000 
  0.4015   0.0808 1163.0000 
  0.6890   0.9937 791.0000 
  0.3981   0.2038 422.0000 
  0.5011   0.1991 447.0000 
  0.4321   0.2107 560.0000 
  0.4278   0.2444 540.0000 
  0.7492   0.0016 614.0000 
  0.7143   0.0018 560.0000 
  0.7839   0.0067 597.0000 
  0.7643   0.0018 560.0000 
  0.7545   0.0060 994.0000 
  0.7667   0.0011 926.0000 
  0.7234   0.5781 723.0000 
  0.6843   0.5689 624.0000 
  0.6403   0.9893 467.0000 
  0.6353   0.9933 447.0000 
  0.7500   0.0016 612.0000 
  0.7544   0.0032 631.0000 
  0.7312   0.0246 651.0000 
  0.7564   0.0186 698.0000 
  0.7332   0.0252 596.0000 
  0.7603   0.0227 484.0000 
  0.7268   0.0524 992.0000 
  0.7398   0.0322 1026.0000 
  0.7180   0.0103 773.0000 
  0.6999   0.0054 933.0000 
  0.7212   0.0050 599.0000 
  0.7800   0.0127 550.0000 
  0.7709   0.0393 611.0000 
  0.7037   0.1461 486.0000 
  0.6778   0.1580 481.0000 
  0.6891   0.9910 669.0000 
  0.7199   0.0101 989.0000 
  0.7147   0.0042 715.0000 
  0.6913   0.6100 800.0000 
  0.7251   0.9725 291.0000 
  0.6934   0.9962 1047.0000 
  0.6549   0.0168 594.0000 
  0.6720   0.0252 872.0000 
  0.7454   0.0000 377.0000 
  0.6881   0.9316 497.0000 
  0.7116   0.9850 735.0000 
  0.6782   0.0149 808.0000 
  0.6256   0.0188 796.0000 
  0.6498   0.9885 611.0000 
  0.7357   0.0196 613.0000 
  0.6742   0.0090 666.0000 
  0.7278   0.0127 709.0000 
  0.7011   0.0202 890.0000 
  0.7128   0.0087 578.0000 
  0.7219   0.0218 597.0000 
  0.7093   0.0122 492.0000 
  0.7377   0.4084 835.0000 
  0.7509   0.4502 542.0000 
  0.7617   0.0104 575.0000 
  0.7482   0.0109 552.0000 
  0.7542   0.0102 590.0000 
  0.7566   0.0181 1105.0000 
  0.7369   0.0200 1148.0000 
  0.7351   0.0069 872.0000 
  0.7551   0.0285 841.0000 
  0.6757   0.4401 1218.0000 
  0.6812   0.4776 781.0000 
  0.6974   0.4155 1018.0000 
  0.7597   0.5124 849.0000 
  0.7081   0.0748 1069.0000 
  0.8018   0.0385 338.0000 
  0.7536   0.0000 345.0000 
  0.6674   0.0508 472.0000 
  0.7140   0.0247 930.0000 
  0.6008   0.1422 1062.0000 
  0.7693   0.0323 711.0000 
  0.7364   0.0667 899.0000 
  0.7807   0.0444 766.0000 
  0.7464   0.0707 891.0000 
  0.7087   0.0312 769.0000 
  0.7097   0.0478 627.0000 
  0.6429   0.8748 1246.0000 
  0.6438   0.8541 1179.0000 
  0.6416   0.9900 798.0000 
  0.6284   0.9914 584.0000 
  0.6904   0.9984 633.0000 
  0.7354   0.9938 650.0000 
  0.7224   0.0488 389.0000 
  0.5906   0.2016 640.0000 
  0.6816   0.0102 490.0000 
  0.6651   0.0281 1066.0000 
  0.6131   0.9965 853.0000 
  0.6690   0.9895 574.0000 
  0.6253   0.9931 435.0000 
  0.6718   0.1964 387.0000 
  0.3567   0.9963 1629.0000 
  0.3522   0.9895 1519.0000 
  0.6556   0.9960 1501.0000 
  0.6707   0.9967 1230.0000 
  0.7382   0.4234 829.0000 
  0.7271   0.3913 667.0000 
  0.7166   0.0816 748.0000 
  0.7243   0.1311 885.0000 
  0.7440   0.0750 707.0000 
  0.7407   0.1216 806.0000 
  0.7227   0.3006 1540.0000 
  0.7342   0.3372 1708.0000 
  0.7655   0.4041 631.0000 
  0.7198   0.4026 621.0000 
  0.7237   0.0472 847.0000 
  0.7577   0.0617 875.0000 
  0.6968   0.3796 1283.0000 
  0.7108   0.3916 1269.0000 
  0.7487   0.3243 1520.0000 
  0.7822   0.3616 1134.0000 
  0.7974   0.2039 775.0000 
  0.7778   0.1818 792.0000 
  0.7114   0.4250 953.0000 
  0.7032   0.4664 1085.0000 
  0.7169   0.3585 703.0000 
  0.7133   0.5076 593.0000 
  0.7003   0.3688 724.0000 
  0.6651   0.3997 633.0000 
  0.7473   0.0981 1009.0000 
  0.7007   0.8776 588.0000 
  0.7365   0.8057 592.0000 
  0.6562   0.1734 1021.0000 
  0.6821   0.1889 736.0000 
  0.7454   0.9080 326.0000 
  0.7672   0.0408 1177.0000 
  0.6341   0.9951 1025.0000 
  0.7136   0.7404 674.0000 
  0.7021   0.8347 950.0000 
  0.7557   0.0048 1445.0000 
  0.7676   0.0071 1265.0000 
  0.7536   0.0117 1112.0000 
