	t	x	n	
  0.3711   0.0900 6087.0000 
  0.4236   0.2338 7646.0000 
  0.3190   0.2428 9692.0000 
  0.2289   0.3851 4492.0000 
  0.4543   0.0776 11347.0000 
  0.4472   0.0000 2536.0000 
  0.3331   0.0875 9726.0000 
  0.2755   0.1289 3622.0000 
  0.3476   0.1866 6395.0000 
  0.2621   0.0589 25934.0000 
  0.3365   0.2871 425.0000 
  0.3513   0.0739 7603.0000 
  0.4309   0.0242 2437.0000 
  0.2712   0.1186 5067.0000 
  0.4780   0.0209 3113.0000 
  0.2645   0.0852 15778.0000 
  0.3598   0.0191 15124.0000 
  0.4454   0.0157 3368.0000 
  0.4431   0.0798 12426.0000 
  0.2756   0.2087 7696.0000 
  0.3327   0.0809 23647.0000 
  0.0172   0.3926 8329.0000 
  0.1746   0.1772 6405.0000 
  0.3814   0.1299 5498.0000 
  0.3749   0.1547 963.0000 
  0.2152   0.3081 21767.0000 
  0.2904   0.0331 6043.0000 
  0.4726   0.0407 2186.0000 
  0.3718   0.0349 4042.0000 
  0.4146   0.0242 8305.0000 
  0.3550   0.0433 2310.0000 
  0.3101   0.0244 5086.0000 
  0.3922   0.0648 617.0000 
  0.3304   0.1937 4373.0000 
  0.2798   0.5619 26323.0000 
  0.2064   0.1312 1715.0000 
  0.0423   0.4615 2364.0000 
  0.4038   0.0041 7041.0000 
  0.3702   0.0020 986.0000 
  0.4137   0.0315 5270.0000 
  0.3581   0.0238 9937.0000 
  0.3602   0.0158 4228.0000 
  0.2811   0.1456 3956.0000 
  0.5424   0.0071 1414.0000 
  0.2130   0.7679 56397.0000 
  0.4083   0.0926 53694.0000 
  0.3246   0.6241 1112.0000 
  0.2744   0.0816 4253.0000 
  0.3504   0.0580 11951.0000 
  0.4801   0.0364 1756.0000 
  0.2840   0.0825 38758.0000 
  0.3880   0.0083 9316.0000 
  0.4549   0.0200 11876.0000 
  0.5151   0.0261 8954.0000 
  0.4696   0.0126 6112.0000 
  0.2422   0.1354 805.0000 
  0.4419   0.0424 1722.0000 
  0.4142   0.9885 2168.0000 
  0.2315   0.1880 14520.0000 
  0.3535   0.1841 3683.0000 
  0.3779   0.0368 3101.0000 
  0.3733   0.0045 3579.0000 
  0.3903   0.0086 3482.0000 
  0.3903   0.1745 26139.0000 
  0.2935   0.1133 7270.0000 
  1.0000   0.0000  19.0000 
  0.3572   0.0300 7064.0000 
  0.3316   0.1667 4313.0000 
  0.4586   0.0530 5851.0000 
  0.4348   0.0000  23.0000 
  0.3424   0.1357 18427.0000 
  0.3548   0.0524 7556.0000 
  0.3072   0.2458 21255.0000 
  0.3576   0.0996 1837.0000 
  0.5332   0.0044 1579.0000 
  0.3956   0.0862 3875.0000 
  0.5721   0.0090 222.0000 
  0.4372   0.0134 3955.0000 
  0.3881   0.0196 16006.0000 
  0.3573   0.1345 11104.0000 
  0.5195   0.0237 4058.0000 
  0.3760   0.0507 12897.0000 
  0.5589   0.0032 2181.0000 
  0.6740   0.0055 908.0000 
  0.4203   0.0285 7687.0000 
  0.4409   0.2521 837.0000 
  0.4505   0.0104 384.0000 
  0.4027   0.1951 3367.0000 
  0.4647   0.0187 2987.0000 
  0.2001   0.3910 1964.0000 
  0.2605   0.4020 13433.0000 
  0.2724   0.2020 3554.0000 
  0.3192   0.2037 2199.0000 
  0.3739   0.0740 1297.0000 
  0.2655   0.5437 4177.0000 
  0.4194   0.1524 689.0000 
  0.3711   0.1287 3271.0000 
  0.3772   0.1931 1787.0000 
  0.2235   0.3935 5655.0000 
  0.3216   0.1059 19079.0000 
  0.6039   0.0195 308.0000 
  0.3495   0.0448 1050.0000 
  0.3787   0.1287 4996.0000 
  0.2973   0.2389 40840.0000 
  0.2499   0.1209 27592.0000 
  0.2983   0.1035 37107.0000 
  0.4238   0.0556 6348.0000 
  0.3623   0.0678 9896.0000 
  0.0000   0.7216 22768.0000 
  0.1759   0.9129 54575.0000 
  0.5000   0.0216 1668.0000 
  0.4105   0.0297 5966.0000 
  0.4635   0.0669 5441.0000 
  0.1465   0.7333 44964.0000 
  0.4571   0.0880 20472.0000 
  0.4197   0.1426 16612.0000 
  0.4639   0.0603 14511.0000 
  0.3432   0.3383 30047.0000 
  0.1504   0.6891 196421.0000 
  0.4390   0.1750 5217.0000 
  0.3441   0.0664 21962.0000 
  0.4832   0.0343 3965.0000 
  0.3370   0.2155 13249.0000 
  0.4244   0.0395 11089.0000 
  0.5014   0.0337 8121.0000 
  0.3674   0.1146 31496.0000 
  0.3190   0.1606 4191.0000 
  0.3132   0.1139 18528.0000 
  0.4486   0.0496 3792.0000 
  0.3444   0.1983 2764.0000 
  0.3408   0.0970 10012.0000 
  0.2821   0.1845 12194.0000 
  0.5699   0.0358 3911.0000 
  0.4085   0.0472 3366.0000 
  0.4084   0.1436 3440.0000 
  0.4098   0.0255 7572.0000 
  0.3658   0.1350 19346.0000 
  0.3326   0.0193 2432.0000 
  0.5265   0.0351 1168.0000 
  0.3728   0.2822 4748.0000 
  0.3994   0.0234 7109.0000 
  0.3500   0.0528 1383.0000 
  0.3835   0.2235 1481.0000 
  0.3276   0.0721 29100.0000 
  0.6220   0.0215 1767.0000 
  0.3493   0.0486 14906.0000 
  0.3454   0.0206 3454.0000 
  0.3801   0.2030 8151.0000 
  0.4908   0.0133 2553.0000 
  0.4487   0.0852 1092.0000 
  0.2724   0.0793 49284.0000 
  0.3119   0.1387 1651.0000 
  0.2357   0.1809 6749.0000 
  0.2362   0.1188 10603.0000 
  0.2642   0.1799 27815.0000 
  0.1904   0.4765 172703.0000 
  0.2771   0.0938 27420.0000 
  0.2662   0.1474 38516.0000 
  0.4387   0.0805 11830.0000 
  0.1609   0.2440 44047.0000 
  0.2132   0.1488 10122.0000 
  0.1839   0.2234 29955.0000 
  0.3341   0.0124 2658.0000 
  0.3924   0.0133 2258.0000 
  0.3457   0.0015 645.0000 
  0.6028   0.0051 778.0000 
  0.3717   0.0302 1555.0000 
  0.3404   0.1212 8188.0000 
  0.4314   0.0048 3361.0000 
  0.4938   0.0068 3246.0000 
  0.2933   0.0549 3280.0000 
  0.3950   0.0101 2172.0000 
  0.3270   0.0117 1107.0000 
  0.2869   0.0313 1279.0000 
  0.3108   0.0099 1110.0000 
  0.3047   0.0178 2865.0000 
  0.3494   0.0073 3715.0000 
  0.3355   0.0324 2471.0000 
  0.3348   0.0426 3190.0000 
  0.3562   0.0324 803.0000 
  0.3401   0.0058 4278.0000 
  0.3496   0.0000 984.0000 
  0.3511   0.0306 11581.0000 
  0.3531   0.0239 10123.0000 
  0.4067   0.0138 509.0000 
  0.5353   0.0166 3667.0000 
  0.2564   0.1632 4227.0000 
  0.3638   0.0153 1825.0000 
  0.3369   0.1265 16703.0000 
  0.3882   0.2020 28326.0000 
  0.3798   0.0696 67696.0000 
  0.3728   0.1482 4029.0000 
  0.4085   0.0266 1503.0000 
  0.4643   0.0727 8884.0000 
  0.3621   0.1212 20736.0000 
  0.5159   0.0335 1851.0000 
  0.2137   0.1719 10814.0000 
  0.4333   0.1421 10553.0000 
  0.2199   0.5332 65183.0000 
  0.4021   0.0425 4728.0000 
  0.4119   0.1502 11403.0000 
  0.3920   0.1290 14739.0000 
  0.4756   0.0783 1827.0000 
  0.3476   0.0369 5118.0000 
  0.3677   0.1050 33158.0000 
  0.2965   0.1823 69406.0000 
  0.2564   0.0056 897.0000 
  0.3290   0.1366 10592.0000 
  0.2806   0.1014 4005.0000 
  0.4606   0.1063 10110.0000 
  0.3277   0.0419 10190.0000 
  0.5238   0.0243 5389.0000 
  0.4707   0.0389 18520.0000 
  0.1802   0.3746 34679.0000 
  0.2824   0.1943 25060.0000 
  0.2634   0.0985 42905.0000 
  0.1824   0.3700 31084.0000 
  0.2402   0.3262 37801.0000 
  0.2336   0.1907 11329.0000 
  0.3254   0.0586 27444.0000 
  0.3239   0.0125 6089.0000 
  0.3448   0.1472 19226.0000 
  0.3638   0.1113 15694.0000 
  0.3215   0.0518 10868.0000 
  0.3246   0.0431 6174.0000 
  0.2791   0.1294 75003.0000 
  0.3466   0.1495 12859.0000 
  0.4623   0.0168 597.0000 
  0.4067   0.1122 1372.0000 
  0.1954   0.5807 12341.0000 
  0.4661   0.0096 3632.0000 
  0.4636   0.0023 1773.0000 
  0.5307   0.0547 4809.0000 
  0.3721   0.0587 3440.0000 
  0.4831   0.0620 3500.0000 
  0.4566   0.0495 6365.0000 
  0.3964   0.0171 994.0000 
  0.2839   0.1950 10792.0000 
  0.3400   0.0551 944.0000 
  0.5609   0.0762 3922.0000 
  0.3009   0.0273 1100.0000 
  0.3120   0.2363 8050.0000 
  0.3467   0.0949 18912.0000 
  0.3500   0.0424 16608.0000 
  0.3781   0.0256 3978.0000 
  0.4601   0.0998 8363.0000 
  0.3403   0.0709 27613.0000 
  0.6061   0.0172 754.0000 
  0.2286   0.0219 7896.0000 
  0.3656   0.1118 5875.0000 
  0.5457   0.0170 4299.0000 
  0.4245   0.0000 318.0000 
  0.2698   0.2344 22162.0000 
  0.3741   0.0666 19028.0000 
  0.4959   0.0072 4297.0000 
  0.3240   0.1011 19947.0000 
  0.3222   0.1070 7296.0000 
  0.3934   0.0527 50854.0000 
  0.3997   0.0645 3675.0000 
  0.4095   0.0111 2801.0000 
  0.3380   0.3402 21978.0000 
  0.4081   0.0513 4038.0000 
  0.3775   0.0925 18836.0000 
  0.4403   0.0653 4779.0000 
  0.3503   0.2736 8823.0000 
  0.7000   0.0484 640.0000 
  0.5169   0.0059 5115.0000 
  0.4570   0.0313 1536.0000 
  0.5602   0.0022 1778.0000 
  0.6111   0.0582 2304.0000 
  0.3337   0.1552 857.0000 
  0.3935   0.1442 1207.0000 
  0.6268   0.0000 2891.0000 
  0.4794   0.0187 4549.0000 
  0.3338   0.2195 9135.0000 
  0.3774   0.0159 4414.0000 
  0.4621   0.0437 2426.0000 
  0.4032   0.0085 15346.0000 
  0.4560   0.0267 6226.0000 
  0.2961   0.0714 6596.0000 
  0.4197   0.0243 2876.0000 
  0.3550   0.0163 5643.0000 
  0.4482   0.0190 6116.0000 
  0.4441   0.0427 7327.0000 
  0.4718   0.0260 922.0000 
  0.3812   0.0268 4410.0000 
  0.3826   0.0317 10780.0000 
  0.2229   0.2023 11692.0000 
  0.4318   0.0707 7664.0000 
  0.4214   0.0342 6779.0000 
  0.3803   0.0644 8917.0000 
  0.5126   0.0197 2944.0000 
  0.3571   0.0174 13247.0000 
  0.3939   0.0315 6321.0000 
  0.3119   0.0474 8737.0000 
  0.3432   0.0770 13127.0000 
  0.5127   0.0066 3776.0000 
  0.5219   0.0227 3476.0000 
  0.3169   0.0536 2591.0000 
  0.4160   0.0722 11750.0000 
  0.4236   0.0924 15955.0000 
  0.4450   0.0501 4151.0000 
  0.2388   0.2723 13572.0000 
  0.5420   0.0198 2725.0000 
  0.3069   0.0547 2760.0000 
  0.2398   0.0593 15795.0000 
  0.2220   0.0100 2608.0000 
  0.2684   0.1357 38824.0000 
  0.4014   0.0420 6068.0000 
  0.3969   0.0253 9906.0000 
  0.3648   0.0832 14456.0000 
  0.3499   0.0159 1829.0000 
  0.2771   0.0445 4857.0000 
  0.3288   0.0578 14813.0000 
  0.3189   0.0499 14844.0000 
  0.1306   0.3523 965.0000 
  0.4434   0.0295 10755.0000 
  0.3276   0.0693 4200.0000 
  0.3908   0.0303 8591.0000 
  0.6434   0.0000 603.0000 
  0.5009   0.0000 1064.0000 
  0.5210   0.0016 1236.0000 
  0.4046   0.0253 6611.0000 
  0.4573   0.0143 32956.0000 
  0.3377   0.0184 50930.0000 
  0.3702   0.0259 57622.0000 
  0.5073   0.0082 1096.0000 
  0.7632   0.0000 304.0000 
  0.5595   0.0036 1126.0000 
  0.3358   0.0554 24251.0000 
  0.3860   0.0074 16589.0000 
  0.2815   0.1369 2082.0000 
  0.3533   0.1797 32461.0000 
  0.6622   0.0041 1945.0000 
  0.3677   0.0113 9915.0000 
  0.4800   0.0061 3100.0000 
  0.4981   0.0358 31735.0000 
  0.9722   0.0000 288.0000 
  0.4037   0.0071 4095.0000 
  0.4390   0.0068 1615.0000 
  0.6550   0.0091 1539.0000 
  0.2797   0.0459 4441.0000 
  0.4032   0.0059 14106.0000 
  0.4230   0.0208 4142.0000 
  0.3630   0.0344 1774.0000 
  0.6031   0.0039 1527.0000 
  0.5198   0.0284 1162.0000 
  0.2954   0.1980 2576.0000 
  0.3571   0.0114 10255.0000 
  0.5198   0.0034 1189.0000 
  0.3596   0.0145 2339.0000 
  0.3487   0.0164 5871.0000 
  0.2801   0.0618 59001.0000 
  0.3383   0.0587 5519.0000 
  0.3286   0.0116 13843.0000 
  0.3232   0.0504 9572.0000 
  0.3466   0.0313 6527.0000 
  0.1482   0.5115 42077.0000 
  0.1314   0.5583 99895.0000 
  0.3760   0.0255 8187.0000 
  0.3757   0.1108 3801.0000 
  0.3110   0.0429 9258.0000 
  0.4060   0.0322 8414.0000 
  0.3523   0.0563 7408.0000 
  0.3324   0.0441 37343.0000 
  0.2661   0.0240 18562.0000 
  0.4114   0.0451 9022.0000 
  0.4441   0.0791 2085.0000 
  0.3293   0.1554 6340.0000 
  0.3369   0.0157 1208.0000 
  0.5725   0.0538 966.0000 
  0.5680   0.0418 1389.0000 
  0.3076   0.2669 1424.0000 
  0.3689   0.1350 1274.0000 
  0.2888   0.3721 3577.0000 
  0.4062   0.0160 10401.0000 
  0.3837   0.1234 2325.0000 
  0.3437   0.0966 5871.0000 
  0.3610   0.2017 1914.0000 
  0.3356   0.4846 4872.0000 
  0.4225   0.0434 2374.0000 
  0.3719   0.1310 2466.0000 
  0.3270   0.0422 5906.0000 
  0.4049   0.0442 13691.0000 
  0.4327   0.0242 5295.0000 
  0.3168   0.0829 7512.0000 
  0.4075   0.0585 8130.0000 
  0.3683   0.0640 25274.0000 
  0.4573   0.0290 551.0000 
  0.2934   0.2758 33966.0000 
  0.3718   0.0457 3526.0000 
  0.3576   0.0742 21055.0000 
  0.3108   0.0092 8562.0000 
  0.4420   0.0000 362.0000 
  0.4157   0.0742 7090.0000 
  0.2893   0.1258 14735.0000 
  0.4562   0.0302 1657.0000 
  0.3501   0.0125 4864.0000 
  0.4704   0.0521 557.0000 
  0.3292   0.1816 9412.0000 
  0.2728   0.1361 3255.0000 
  0.4750   0.0750 8128.0000 
  0.4322   0.0552 4061.0000 
  0.2747   0.0233 557.0000 
  0.3100   0.0280 4209.0000 
  0.3769   0.0163 674.0000 
  0.3521   0.0264 5752.0000 
  0.3517   0.0045 3776.0000 
  0.3093   0.0144 3682.0000 
  0.3997   0.0020 2009.0000 
  0.4349   0.0313 1950.0000 
  0.2889   0.0236 1866.0000 
  0.3409   0.0066 3356.0000 
  0.3452   0.0092 3902.0000 
  0.2626   0.0328 11223.0000 
  0.3638   0.0101 1391.0000 
  0.3169   0.0464 2048.0000 
  0.3036   0.0211 5691.0000 
  0.4030   0.0031 1918.0000 
  0.3446   0.0060 1332.0000 
  0.3959   0.0101 10903.0000 
  0.3915   0.0362 2600.0000 
  0.4322   0.0171 2927.0000 
  0.2794   0.0222 1618.0000 
  0.3259   0.0158 14248.0000 
  0.4800   0.0000  50.0000 
  0.3357   0.0492 6750.0000 
  0.4625   0.0769 9198.0000 
  0.4687   0.0266 12092.0000 
  0.4518   0.0428 17830.0000 
  0.1678   0.3171 82878.0000 
  0.4663   0.0910 5428.0000 
  0.4036   0.0079 3434.0000 
  0.2741   0.4497 16190.0000 
  0.4101   0.0356 6157.0000 
  0.3412   0.2098 29449.0000 
  0.4705   0.0233 5450.0000 
  0.4261   0.0600 8944.0000 
  0.1805   0.7057 34523.0000 
  0.3710   0.2306 20063.0000 
  0.2625   0.4009 15907.0000 
  0.3812   0.0645 10339.0000 
  0.4072   0.1546 16633.0000 
  0.4513   0.0611 11268.0000 
  0.3928   0.0946 15759.0000 
  0.3667   0.1256 41260.0000 
  0.4416   0.0783 21976.0000 
  0.3373   0.0071 1266.0000 
  0.3893   0.0149 2813.0000 
  0.2745   0.0161 1989.0000 
  0.3671   0.0193 1967.0000 
  0.4862   0.0093 3852.0000 
  0.3127   0.0169 1775.0000 
  0.4252   0.0144 1317.0000 
  0.3336   0.0067 1352.0000 
  0.3773   0.0512 6250.0000 
  0.3758   0.0124 886.0000 
  0.3241   0.0069 2015.0000 
  0.4929   0.0110 1272.0000 
  0.3549   0.0244 2911.0000 
  0.3998   0.0065 1846.0000 
  0.4066   0.0222 1798.0000 
  0.3377   0.0196 3921.0000 
  0.2510   0.0721 5398.0000 
  0.3229   0.0060 1341.0000 
  0.2500   0.0000  16.0000 
  0.2894   0.0344 11837.0000 
  0.3218   0.0092 2815.0000 
  0.2849   0.0358 4808.0000 
  0.3783   0.0138 3841.0000 
  0.3577   0.0302 2815.0000 
