X_i	V_i	T_i	e^2_i	1/N_i
0.4530 0.7727 0.2431 0.0052 0.0055 
0.0020 0.5498 0.2960 0.0037 0.0010 
0.0029 0.5654 0.3450 0.0001 0.0015 
0.0000 0.4762 0.1382 0.0479 0.0066 
0.1131 0.5385 0.2184 0.0164 0.0011 
0.0039 0.5565 0.2964 0.0036 0.0013 
0.0034 0.6707 0.1426 0.0458 0.0009 
0.0049 0.3886 0.2137 0.0204 0.0012 
0.1152 0.6846 0.2119 0.0181 0.0014 
0.4314 0.7089 0.0892 0.0519 0.0006 
0.0081 0.6747 0.1690 0.0350 0.0020 
0.1156 0.6429 0.1265 0.0483 0.0009 
0.0183 0.6520 0.2438 0.0124 0.0011 
0.0083 0.5886 0.1636 0.0371 0.0010 
0.0490 0.6687 0.2614 0.0083 0.0016 
0.0270 0.4939 0.1843 0.0290 0.0011 
0.0182 0.5763 0.1788 0.0312 0.0015 
0.0293 0.6319 0.1564 0.0392 0.0011 
0.0102 0.7267 0.1817 0.0304 0.0011 
0.0867 0.6628 0.1911 0.0249 0.0011 
0.0946 0.6221 0.1678 0.0326 0.0010 
0.0000 0.7573 0.1776 0.0322 0.0017 
0.0464 0.6288 0.1531 0.0398 0.0012 
0.7592 0.8556 0.2211 0.0043 0.0012 
0.0045 0.5878 0.1961 0.0258 0.0015 
0.0111 0.5789 0.2117 0.0208 0.0028 
0.2783 0.7190 0.3290 0.0000 0.0010 
0.1198 0.6224 0.1914 0.0239 0.0007 
0.0939 0.6173 0.2258 0.0150 0.0009 
0.6656 0.8247 0.2550 0.0016 0.0017 
0.1409 0.4451 0.1819 0.0263 0.0011 
0.0496 0.4688 0.2033 0.0222 0.0013 
0.2440 0.6587 0.2150 0.0142 0.0017 
0.5235 0.7159 0.1651 0.0205 0.0019 
0.0515 0.4500 0.2326 0.0143 0.0017 
0.1962 0.6329 0.2124 0.0160 0.0027 
0.2325 0.6333 0.2268 0.0118 0.0019 
0.0775 0.7291 0.3085 0.0017 0.0015 
0.0955 0.5161 0.2243 0.0153 0.0014 
0.0823 0.5000 0.2112 0.0191 0.0016 
0.9808 0.9288 0.4050 0.0193 0.0012 
0.9814 0.9344 0.1031 0.0265 0.0008 
0.9773 0.9355 0.1921 0.0055 0.0021 
0.9639 0.9394 0.3621 0.0089 0.0016 
0.9905 0.9358 0.4000 0.0182 0.0014 
0.9869 0.9699 0.3924 0.0161 0.0013 
0.9488 0.8872 0.2524 0.0003 0.0019 
0.9665 0.9196 0.2587 0.0001 0.0012 
0.9904 0.9312 0.2589 0.0000 0.0014 
0.9790 0.8962 0.3419 0.0057 0.0016 
0.9842 0.9610 0.1738 0.0084 0.0023 
0.0291 0.4485 0.2083 0.0213 0.0015 
0.0300 0.5315 0.2046 0.0224 0.0014 
0.0039 0.5168 0.3107 0.0021 0.0013 
0.0021 0.4722 0.3038 0.0028 0.0021 
0.0378 0.5608 0.1471 0.0426 0.0010 
0.0000 0.4437 0.4893 0.0175 0.0031 
0.0709 0.4959 0.1559 0.0378 0.0013 
0.0089 0.4933 0.3353 0.0004 0.0015 
0.0483 0.5155 0.2776 0.0056 0.0017 
0.0240 0.4673 0.1835 0.0293 0.0017 
0.0319 0.5664 0.1896 0.0270 0.0017 
0.0045 0.4804 0.2297 0.0161 0.0011 
0.0000 0.4643 0.7044 0.1207 0.0031 
0.9868 0.9726 0.1931 0.0052 0.0026 
0.9595 0.9453 0.2627 0.0000 0.0013 
0.9778 0.9392 0.2736 0.0001 0.0018 
0.9802 0.9403 0.2211 0.0020 0.0017 
0.7774 0.7829 0.2349 0.0025 0.0015 
0.8605 0.8942 0.2232 0.0029 0.0021 
0.8800 0.9000 0.3667 0.0083 0.0033 
0.0356 0.4604 0.2619 0.0084 0.0010 
0.0249 0.4890 0.2507 0.0108 0.0009 
0.0043 0.6137 0.5022 0.0212 0.0022 
0.7197 0.7865 0.1862 0.0108 0.0021 
0.0064 0.6331 0.2167 0.0195 0.0013 
0.0072 0.6277 0.2254 0.0171 0.0024 
0.1855 0.6689 0.1795 0.0257 0.0012 
0.0347 0.5380 0.2375 0.0135 0.0014 
0.0431 0.5236 0.2078 0.0211 0.0010 
0.0000 0.5205 0.3802 0.0005 0.0026 
0.0017 0.4337 0.4249 0.0046 0.0017 
0.3220 0.4976 0.2109 0.0135 0.0010 
0.8748 0.8705 0.2543 0.0005 0.0013 
0.7577 0.7833 0.3202 0.0011 0.0011 
0.6892 0.7324 0.2399 0.0028 0.0017 
0.8892 0.9057 0.3193 0.0020 0.0012 
0.9143 0.8457 0.2335 0.0015 0.0012 
0.6445 0.8010 0.2634 0.0011 0.0013 
0.9585 0.9182 0.2229 0.0020 0.0010 
0.6856 0.7616 0.2091 0.0071 0.0014 
0.7481 0.8426 0.2748 0.0002 0.0025 
0.9377 0.9395 0.4175 0.0218 0.0017 
0.9879 0.9250 0.2902 0.0006 0.0012 
0.7977 0.9146 0.2212 0.0038 0.0009 
0.9518 0.9121 0.2373 0.0010 0.0013 
0.9187 0.8857 0.2957 0.0006 0.0011 
0.9772 0.9351 0.2480 0.0003 0.0013 
0.9865 0.9431 0.3324 0.0045 0.0027 
0.9904 0.9209 0.3485 0.0070 0.0014 
0.8595 0.8514 0.4125 0.0183 0.0013 
0.9854 0.9756 0.3317 0.0044 0.0016 
0.9822 0.9598 0.3323 0.0044 0.0015 
0.9786 0.9644 0.2830 0.0003 0.0013 
0.9864 0.9597 0.3714 0.0112 0.0014 
0.9829 0.9571 0.2782 0.0002 0.0017 
0.9923 0.9699 0.2542 0.0001 0.0015 
0.9762 0.9314 0.2698 0.0000 0.0013 
0.9955 0.8951 0.3243 0.0036 0.0023 
0.9930 0.9204 0.3930 0.0164 0.0017 
0.9883 0.9133 0.3821 0.0136 0.0019 
0.9789 0.9634 0.3705 0.0109 0.0015 
0.5085 0.6173 0.1141 0.0383 0.0014 
0.8550 0.8580 0.2357 0.0018 0.0014 
0.8052 0.8125 0.1472 0.0182 0.0015 
0.3742 0.5629 0.2530 0.0048 0.0015 
0.6572 0.7556 0.1912 0.0110 0.0014 
0.3688 0.6059 0.3180 0.0000 0.0012 
0.3130 0.5663 0.1810 0.0216 0.0009 
0.3487 0.6635 0.3637 0.0015 0.0012 
0.0157 0.4694 0.3415 0.0002 0.0017 
0.0037 0.5175 0.4207 0.0041 0.0018 
0.0023 0.5217 0.2072 0.0224 0.0023 
0.0128 0.4803 0.4856 0.0168 0.0016 
0.0192 0.5629 0.2898 0.0043 0.0019 
0.0039 0.4731 0.3584 0.0000 0.0019 
0.0261 0.6019 0.2244 0.0169 0.0022 
0.0054 0.6062 0.4043 0.0023 0.0018 
0.0119 0.5128 0.2649 0.0083 0.0017 
0.0583 0.5198 0.2755 0.0058 0.0012 
0.0280 0.5286 0.3011 0.0028 0.0022 
0.0381 0.4681 0.1992 0.0238 0.0042 
0.0816 0.5956 0.2229 0.0160 0.0012 
0.0083 0.5000 0.2254 0.0171 0.0012 
0.0000 0.5211 0.3613 0.0000 0.0025 
0.0020 0.5161 0.3039 0.0028 0.0020 
0.0066 0.5158 0.2090 0.0217 0.0011 
0.0116 0.4985 0.3463 0.0001 0.0011 
0.0000 0.4722 0.3536 0.0000 0.0020 
0.0000 0.5424 0.5463 0.0358 0.0015 
0.0053 0.5202 0.3062 0.0025 0.0018 
0.0215 0.4016 0.3908 0.0013 0.0031 
0.0000 0.5126 0.2352 0.0148 0.0012 
0.0000 0.3543 0.3163 0.0017 0.0014 
0.0000 0.3771 0.5827 0.0509 0.0025 
0.0000 0.4639 0.3517 0.0000 0.0021 
0.0352 0.7333 0.1218 0.0538 0.0014 
0.0494 0.4502 0.2386 0.0130 0.0010 
0.0000 0.4367 0.3205 0.0013 0.0011 
0.0000 0.4134 0.4068 0.0025 0.0011 
0.0056 0.3073 0.3810 0.0006 0.0019 
0.0016 0.4509 0.1811 0.0309 0.0008 
0.0000 0.3946 0.3655 0.0001 0.0014 
0.0081 0.3822 0.3185 0.0014 0.0020 
0.0013 0.4147 0.3266 0.0009 0.0013 
0.0000 0.3373 0.3324 0.0006 0.0013 
0.0042 0.4163 0.2219 0.0182 0.0011 
0.0000 0.3892 0.2647 0.0085 0.0014 
0.0000 0.4517 0.4016 0.0020 0.0016 
0.0012 0.2904 0.4692 0.0126 0.0012 
0.0095 0.3992 0.3238 0.0010 0.0014 
0.0037 0.4246 0.5239 0.0280 0.0018 
0.0152 0.3477 0.4696 0.0130 0.0013 
0.0000 0.3187 0.5215 0.0271 0.0014 
0.0015 0.4436 0.3929 0.0013 0.0015 
0.0014 0.3750 0.1959 0.0259 0.0007 
0.0045 0.3933 0.3401 0.0003 0.0023 
0.0171 0.3750 0.3886 0.0011 0.0029 
0.0075 0.4056 0.3744 0.0003 0.0015 
0.0042 0.3892 0.2326 0.0154 0.0014 
0.0060 0.3710 0.3690 0.0002 0.0030 
0.0000 0.2720 0.4343 0.0060 0.0017 
0.0000 0.4101 0.4703 0.0128 0.0015 
0.0000 0.3118 0.4271 0.0049 0.0025 
0.0000 0.3874 0.4440 0.0076 0.0040 
0.0000 0.3179 0.3481 0.0001 0.0020 
0.0016 0.3292 0.3773 0.0004 0.0016 
0.0132 0.3607 0.3228 0.0011 0.0026 
0.0015 0.4758 0.1896 0.0280 0.0015 
0.0306 0.3677 0.5498 0.0383 0.0015 
0.0057 0.3795 0.3781 0.0005 0.0011 
0.0013 0.4637 0.3890 0.0010 0.0013 
0.0000 0.2925 0.5060 0.0222 0.0020 
0.0013 0.2881 0.4547 0.0096 0.0013 
0.0000 0.3668 0.4086 0.0027 0.0021 
0.0145 0.3585 0.3354 0.0004 0.0009 
0.0055 0.3184 0.4904 0.0179 0.0027 
0.0449 0.4562 0.4429 0.0081 0.0020 
0.3105 0.5221 0.0783 0.0624 0.0007 
0.0080 0.2508 0.4270 0.0050 0.0013 
0.0106 0.2456 0.6064 0.0627 0.0053 
0.7764 0.7315 0.3077 0.0005 0.0014 
0.0124 0.3200 0.5165 0.0258 0.0041 
0.0047 0.1870 0.5361 0.0322 0.0023 
0.1282 0.3601 0.4074 0.0039 0.0014 
0.6206 0.6897 0.3439 0.0020 0.0020 
0.0547 0.4754 0.2670 0.0072 0.0011 
0.0100 0.2854 0.6066 0.0627 0.0014 
0.0199 0.2779 0.6311 0.0761 0.0018 
0.0394 0.4824 0.2091 0.0208 0.0012 
0.0250 0.4301 0.2050 0.0224 0.0007 
0.0199 0.2543 0.6207 0.0705 0.0013 
0.0000 0.4898 0.4058 0.0024 0.0021 
0.0125 0.4388 0.2450 0.0123 0.0025 
0.0345 0.2632 0.6115 0.0664 0.0023 
0.0495 0.2788 0.4015 0.0024 0.0011 
0.0161 0.2105 0.6742 0.1016 0.0032 
0.0065 0.2744 0.6817 0.1058 0.0022 
0.0191 0.3178 0.4504 0.0091 0.0019 
0.0297 0.3007 0.6758 0.1034 0.0023 
0.1449 0.3164 0.3293 0.0002 0.0012 
0.0112 0.3019 0.5911 0.0553 0.0019 
0.0590 0.3125 0.3611 0.0001 0.0017 
0.1250 0.2833 0.3000 0.0021 0.0017 
0.1028 0.3190 0.4190 0.0051 0.0013 
0.0217 0.3184 0.5804 0.0508 0.0022 
0.0650 0.3108 0.2236 0.0162 0.0015 
0.0933 0.4274 0.3357 0.0002 0.0014 
0.0644 0.4897 0.2315 0.0143 0.0012 
0.2751 0.5500 0.1942 0.0189 0.0032 
0.0449 0.4776 0.2147 0.0191 0.0032 
0.0408 0.3250 0.3263 0.0007 0.0012 
0.0803 0.3529 0.1321 0.0473 0.0013 
0.0511 0.2782 0.4521 0.0100 0.0012 
0.0145 0.2102 0.5033 0.0218 0.0011 
0.0302 0.2243 0.1795 0.0305 0.0017 
0.0815 0.4105 0.1474 0.0408 0.0008 
0.2385 0.3736 0.1307 0.0417 0.0014 
0.0037 0.5061 0.3028 0.0029 0.0012 
0.0033 0.2719 0.3713 0.0002 0.0033 
0.2294 0.3611 0.0928 0.0590 0.0009 
0.0000 0.1538 0.7647 0.1662 0.0065 
0.0915 0.2890 0.1479 0.0403 0.0009 
0.1374 0.3023 0.4725 0.0165 0.0055 
0.0057 0.4626 0.3224 0.0012 0.0014 
0.0483 0.3604 0.4730 0.0145 0.0014 
0.0153 0.2196 0.5169 0.0260 0.0015 
0.6231 0.6552 0.4462 0.0216 0.0026 
0.0000 0.4800 0.3401 0.0003 0.0017 
0.0040 0.4432 0.1780 0.0319 0.0010 
0.0043 0.4017 0.2468 0.0121 0.0011 
0.0000 0.4566 0.4137 0.0032 0.0012 
0.0000 0.4055 0.3665 0.0001 0.0014 
0.0016 0.4762 0.3708 0.0002 0.0016 
0.0018 0.4318 0.4880 0.0172 0.0018 
0.0000 0.4146 0.4457 0.0079 0.0016 
0.0000 0.4123 0.4942 0.0188 0.0014 
0.0016 0.4131 0.3313 0.0007 0.0016 
0.0000 0.4529 0.4071 0.0025 0.0015 
0.0000 0.4429 0.4415 0.0071 0.0020 
0.0034 0.3800 0.4484 0.0084 0.0011 
0.0021 0.3551 0.5872 0.0531 0.0021 
0.0043 0.3978 0.3851 0.0008 0.0011 
0.0000 0.4500 0.4887 0.0173 0.0019 
0.0043 0.4629 0.4096 0.0028 0.0014 
0.0000 0.4150 0.4601 0.0106 0.0016 
0.0000 0.3308 0.4624 0.0111 0.0012 
0.0000 0.3231 0.5842 0.0516 0.0026 
0.0010 0.4064 0.2520 0.0110 0.0010 
0.0000 0.4918 0.2626 0.0089 0.0014 
0.0000 0.5329 0.2951 0.0038 0.0018 
0.0000 0.2941 0.5421 0.0343 0.0013 
0.0036 0.3324 0.4313 0.0056 0.0012 
0.0069 0.4737 0.2948 0.0038 0.0017 
0.0000 0.4013 0.4524 0.0091 0.0015 
0.0027 0.4000 0.3388 0.0003 0.0009 
0.0231 0.5000 0.1669 0.0353 0.0013 
0.0465 0.5000 0.3155 0.0014 0.0014 
0.0060 0.4197 0.1934 0.0266 0.0010 
0.0000 0.3988 0.4510 0.0088 0.0014 
0.0041 0.3782 0.5647 0.0433 0.0021 
0.0481 0.5659 0.2467 0.0112 0.0012 
0.0000 0.3569 0.5024 0.0211 0.0016 
0.0033 0.4653 0.2384 0.0140 0.0017 
0.0020 0.3892 0.3195 0.0014 0.0010 
0.0000 0.3398 0.4828 0.0158 0.0016 
0.0000 0.3302 0.5584 0.0406 0.0026 
0.0060 0.3305 0.4199 0.0040 0.0012 
0.0020 0.2461 0.3289 0.0008 0.0010 
0.0101 0.4970 0.1872 0.0285 0.0011 
0.0017 0.3669 0.4688 0.0125 0.0017 
0.0000 0.4819 0.2049 0.0231 0.0025 
0.0000 0.4447 0.3842 0.0007 0.0010 
0.0000 0.4314 0.4636 0.0114 0.0018 
0.0043 0.3372 0.2493 0.0115 0.0014 
0.0077 0.4000 0.1585 0.0391 0.0009 
0.0105 0.3855 0.2898 0.0044 0.0011 
0.0045 0.3841 0.1716 0.0342 0.0011 
0.0000 0.3175 0.4858 0.0166 0.0018 
0.0000 0.3295 0.4868 0.0168 0.0019 
0.0105 0.3731 0.3508 0.0000 0.0052 
0.0037 0.3810 0.5103 0.0236 0.0019 
0.0000 0.3577 0.3400 0.0003 0.0025 
0.0030 0.3604 0.4249 0.0047 0.0015 
0.0000 0.3692 0.5350 0.0317 0.0025 
0.0014 0.4532 0.1900 0.0278 0.0007 
0.0000 0.3933 0.3388 0.0003 0.0013 
0.0260 0.3941 0.1105 0.0596 0.0006 
0.0000 0.4967 0.2538 0.0107 0.0017 
0.0037 0.3071 0.3449 0.0001 0.0009 
0.0022 0.4495 0.2444 0.0126 0.0022 
0.0000 0.3884 0.4696 0.0127 0.0021 
0.0000 0.3544 0.2362 0.0146 0.0015 
0.0000 0.3037 0.5247 0.0281 0.0027 
0.0012 0.3582 0.5657 0.0436 0.0012 
0.0103 0.4378 0.2297 0.0160 0.0011 
0.0030 0.3165 0.4187 0.0038 0.0015 
0.0000 0.4400 0.3709 0.0002 0.0030 
0.0047 0.4074 0.1279 0.0523 0.0008 
0.0000 0.4395 0.3489 0.0001 0.0022 
0.0035 0.3599 0.4497 0.0087 0.0012 
0.0010 0.3103 0.3843 0.0007 0.0010 
0.0060 0.4692 0.2616 0.0090 0.0010 
0.0000 0.2508 0.4377 0.0065 0.0015 
0.0000 0.3925 0.3393 0.0003 0.0013 
0.0021 0.4552 0.2943 0.0039 0.0011 
0.0000 0.2900 0.6385 0.0792 0.0015 
0.0000 0.3733 0.4076 0.0026 0.0054 
0.0000 0.3535 0.4987 0.0201 0.0025 
0.0000 0.3292 0.5063 0.0223 0.0031 
0.0000 0.3733 0.5656 0.0435 0.0015 
0.1114 0.4881 0.5570 0.0442 0.0013 
0.0172 0.3057 0.5687 0.0455 0.0021 
0.4317 0.5577 0.0887 0.0521 0.0017 
0.3220 0.5244 0.4293 0.0104 0.0013 
0.3251 0.5578 0.2741 0.0028 0.0014 
0.0159 0.2836 0.6077 0.0636 0.0023 
0.7427 0.7941 0.2396 0.0023 0.0009 
0.1313 0.4464 0.5015 0.0245 0.0030 
0.2280 0.4267 0.4206 0.0072 0.0019 
0.3524 0.5427 0.1895 0.0182 0.0010 
0.4200 0.6613 0.1550 0.0266 0.0025 
0.2558 0.4527 0.4723 0.0193 0.0014 
0.0393 0.2880 0.5459 0.0371 0.0044 
0.0553 0.3244 0.5308 0.0320 0.0016 
0.1371 0.3889 0.1645 0.0323 0.0013 
0.0362 0.3388 0.7091 0.1264 0.0014 
0.2367 0.4484 0.2800 0.0030 0.0011 
0.2947 0.5650 0.1932 0.0186 0.0010 
0.1828 0.4435 0.2764 0.0041 0.0007 
0.0761 0.3235 0.3292 0.0004 0.0014 
0.1136 0.3322 0.5740 0.0518 0.0020 
0.0000 1.0000 1.0000 0.4134 0.5000 
0.0196 0.2219 0.4524 0.0095 0.0013 
0.4259 0.6807 0.1547 0.0265 0.0009 
0.0533 0.3344 0.2905 0.0038 0.0010 
0.0135 0.2482 0.7827 0.1823 0.0019 
0.0939 0.4236 0.2918 0.0032 0.0009 
0.0684 0.2809 0.2124 0.0191 0.0008 
0.0520 0.3041 0.3808 0.0008 0.0010 
0.0872 0.3214 0.1745 0.0304 0.0031 
0.0527 0.4377 0.3325 0.0004 0.0013 
0.1036 0.3458 0.4434 0.0092 0.0014 
0.2681 0.4706 0.3696 0.0014 0.0072 
0.1283 0.4532 0.3532 0.0001 0.0013 
0.0558 0.2919 0.4239 0.0052 0.0010 
0.0445 0.4076 0.3027 0.0025 0.0014 
0.3101 0.6095 0.1927 0.0184 0.0018 
0.0353 0.3919 0.2305 0.0152 0.0010 
0.0400 0.2500 0.6267 0.0747 0.0033 
0.0963 0.3077 0.0963 0.0634 0.0037 
0.0456 0.3263 0.1667 0.0346 0.0018 
0.1136 0.4000 0.4167 0.0049 0.0076 
0.1144 0.4475 0.2815 0.0042 0.0013 
0.0000 0.0000 0.1111 0.0605 0.1111 
0.1214 0.4032 0.2338 0.0125 0.0008 
0.0460 0.3008 0.5597 0.0428 0.0014 
0.0448 0.3077 0.4204 0.0046 0.0012 
0.0024 0.4207 0.3219 0.0012 0.0012 
0.0152 0.3056 0.3636 0.0001 0.0017 
0.0174 0.5072 0.2404 0.0132 0.0035 
0.0012 0.5368 0.2314 0.0157 0.0012 
0.0013 0.4766 0.4142 0.0033 0.0013 
0.0387 0.3813 0.2927 0.0037 0.0011 
0.0000 0.3835 0.5341 0.0314 0.0040 
0.0385 0.5294 0.1638 0.0360 0.0019 
0.0107 0.3947 0.5073 0.0229 0.0013 
0.0025 0.3120 0.6361 0.0780 0.0025 
0.0022 0.3377 0.5055 0.0221 0.0022 
0.0079 0.4403 0.3508 0.0000 0.0013 
0.0359 0.3378 0.4837 0.0169 0.0033 
0.0091 0.3910 0.4366 0.0065 0.0015 
0.0221 0.3082 0.4392 0.0071 0.0028 
0.0039 0.3333 0.6070 0.0627 0.0019 
0.0935 0.3028 0.2486 0.0100 0.0011 
0.0120 0.3374 0.4352 0.0063 0.0013 
0.0025 0.5423 0.1777 0.0321 0.0013 
0.0063 0.3451 0.6004 0.0595 0.0021 
0.0232 0.4816 0.2988 0.0031 0.0012 
0.0024 0.5450 0.2527 0.0108 0.0012 
0.0000 0.4022 0.3609 0.0000 0.0020 
0.0000 0.4424 0.3422 0.0002 0.0013 
0.2006 0.4318 0.2577 0.0065 0.0015 
0.0032 0.3661 0.5342 0.0315 0.0016 
0.0068 0.4644 0.3989 0.0018 0.0011 
0.0783 0.4753 0.2900 0.0036 0.0011 
0.0276 0.3930 0.3512 0.0000 0.0015 
0.0092 0.3702 0.5402 0.0339 0.0023 
0.1023 0.4802 0.2370 0.0122 0.0010 
0.0065 0.3929 0.5455 0.0357 0.0022 
0.1079 0.4420 0.1712 0.0309 0.0012 
0.0000 0.3618 0.4345 0.0060 0.0022 
0.0256 0.3367 0.4639 0.0119 0.0023 
0.0606 0.3980 0.3494 0.0000 0.0018 
0.0376 0.4663 0.3716 0.0003 0.0021 
0.0080 0.3366 0.4032 0.0022 0.0020 
0.0000 0.3542 0.2775 0.0063 0.0058 
0.0023 0.3305 0.5260 0.0286 0.0023 
0.1957 0.3857 0.1403 0.0394 0.0006 
0.1509 0.4767 0.1821 0.0259 0.0009 
0.0891 0.3632 0.3484 0.0000 0.0016 
0.0632 0.3788 0.2609 0.0081 0.0013 
0.1259 0.3133 0.4353 0.0081 0.0017 
0.0385 0.3691 0.6368 0.0803 0.0043 
0.0000 0.4396 0.4136 0.0032 0.0045 
0.0524 0.3824 0.3143 0.0014 0.0015 
0.0000 0.3761 0.5547 0.0391 0.0025 
0.0726 0.3835 0.2201 0.0169 0.0011 
0.0335 0.3213 0.4933 0.0194 0.0022 
0.0098 0.3333 0.2656 0.0082 0.0033 
0.0000 0.2778 0.6207 0.0695 0.0345 
0.5379 0.4532 1.5379 1.5148 0.0076 
0.0672 0.2795 0.3764 0.0007 0.0013 
0.0017 0.3697 0.3564 0.0000 0.0017 
0.0028 0.3968 0.4403 0.0070 0.0014 
0.0000 0.3599 0.3823 0.0006 0.0013 
0.0076 0.2663 0.5398 0.0337 0.0015 
0.0160 0.3154 0.5408 0.0343 0.0015 
0.0148 0.3968 0.1869 0.0285 0.0030 
0.0030 0.2414 0.6435 0.0822 0.0015 
0.0000 0.3769 0.2451 0.0125 0.0012 
0.0150 0.3871 0.3724 0.0003 0.0030 
0.0580 0.4039 0.4482 0.0093 0.0018 
0.0408 0.2500 0.5714 0.0476 0.0204 
0.1478 0.4203 0.4147 0.0051 0.0012 
0.0439 0.3932 0.4017 0.0024 0.0010 
0.9336 0.8986 0.3454 0.0056 0.0012 
0.2936 0.5175 0.1235 0.0425 0.0009 
0.0215 0.3153 0.4450 0.0081 0.0013 
0.0059 0.2981 0.7278 0.1379 0.0020 
0.0190 0.6070 0.5439 0.0356 0.0024 
0.0729 0.3358 0.4705 0.0145 0.0017 
0.0096 0.3443 0.5880 0.0537 0.0024 
0.0715 0.3443 0.3967 0.0022 0.0016 
0.6189 0.6809 0.4858 0.0347 0.0013 
0.0027 0.2861 0.5389 0.0332 0.0013 
0.6146 0.7119 0.5288 0.0524 0.0013 
0.0020 0.2436 0.6303 0.0748 0.0020 
0.3571 0.5020 0.5692 0.0602 0.0022 
0.0576 0.3776 0.6025 0.0629 0.0014 
0.0074 0.2561 0.6029 0.0608 0.0074 
0.3856 0.5697 0.3578 0.0013 0.0015 
0.3542 0.5361 0.6042 0.0784 0.0019 
0.2471 0.5769 0.4133 0.0063 0.0014 
0.0093 0.3034 0.6713 0.0993 0.0015 
0.0057 0.3080 0.6382 0.0794 0.0028 
0.0166 0.2500 0.1708 0.0341 0.0012 
0.0083 0.2993 0.6100 0.0644 0.0014 
0.0081 0.2962 0.5253 0.0286 0.0020 
0.9012 0.9135 0.4392 0.0275 0.0015 
0.0000 0.4459 0.2085 0.0221 0.0028 
0.1274 0.3533 0.4080 0.0039 0.0013 
0.0000 0.2609 0.7225 0.1336 0.0026 
0.0108 0.4607 0.6048 0.0619 0.0022 
0.0018 0.2737 0.6509 0.0865 0.0018 
0.1582 0.3890 0.5954 0.0641 0.0016 
0.3081 0.6705 0.4544 0.0159 0.0017 
0.1196 0.4413 0.4440 0.0096 0.0013 
0.1699 0.4101 0.3828 0.0017 0.0022 
0.4101 0.5897 0.5899 0.0734 0.0017 
0.2067 0.3187 0.4295 0.0084 0.0013 
0.0695 0.4000 0.3024 0.0023 0.0013 
0.0092 0.2554 0.6391 0.0800 0.0023 
0.0024 0.3562 0.5355 0.0319 0.0012 
0.1501 0.4532 0.3205 0.0005 0.0012 
0.0250 0.2815 0.1607 0.0376 0.0012 
0.0545 0.4339 0.6705 0.1014 0.0023 
0.3077 0.6667 0.2308 0.0095 0.0110 
0.3689 0.5261 0.1707 0.0231 0.0008 
0.5908 0.7683 0.1568 0.0211 0.0019 
0.4469 0.5344 0.4814 0.0275 0.0013 
0.6861 0.6848 0.3842 0.0082 0.0015 
0.3819 0.5143 0.6217 0.0901 0.0018 
0.0852 0.3557 0.4606 0.0124 0.0013 
0.0109 0.2949 0.6359 0.0783 0.0027 
0.0123 0.3585 0.4877 0.0174 0.0014 
0.0075 0.2540 1.2431 0.7864 0.0025 
0.0428 0.3856 0.5027 0.0224 0.0013 
0.0106 0.2251 0.6180 0.0686 0.0018 
0.0000 0.4455 0.7743 0.1741 0.0018 
0.0317 0.3597 0.4711 0.0137 0.0019 
0.0020 0.3112 0.6783 0.1033 0.0020 
0.3614 0.6468 0.1930 0.0170 0.0008 
0.2890 0.4937 0.4566 0.0160 0.0058 
